house_title,price,more_details_link,location
4 Bed House with En Suite at Loresho,"KSh 108,000,000",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-loresho-3790609,"Loresho, Westlands"
5 Bed House with En Suite at Thigiri Ridge,"KSh 155,000,000",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-thigiri-3790599,"Thigiri Ridge, Thigiri, Westlands"
4 Bed Townhouse with En Suite at Lavington,"KSh 80,000,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3790582,"lavington, Lavington"
4 Bed Townhouse with En Suite at Westlands,"KSh 35,000,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-westlands-area-3790577,"WESTLANDS, Westlands Area, Westlands"
4 Bed House with Staff Quarters in Ngong,"KSh 10,500,000",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-ngong-3790553,Ngong
4 Bed Villa with En Suite in Karen,"KSh 110,000,000",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-karen-3790481,Karen
4 Bed Townhouse with En Suite at Lavington,"KSh 73,000,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3790544,"0411n, lavington, Lavington"
4 Bed House with En Suite in Karen,"KSh 50,000,000",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3790454,Karen
4 Bed Townhouse with En Suite at Mlolongo,"KSh 30,500,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-mlolongo-3790507,"0411n, mlolongo, Mlolongo"
5 Bed Townhouse with En Suite at Lavington,"KSh 65,000,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3790461,"0411n, lavington, Lavington"
5 Bed Townhouse with En Suite in Lavington,"KSh 85,000,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3790440,Lavington
5 Bed House with En Suite in Runda,"KSh 370,000,000",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3790446,"Runda, Westlands"
4 Bed House with En Suite in Rosslyn,"KSh 118,000,000",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-rosslyn-3790442,"Rosslyn, Westlands"
6 Bed House with En Suite at Lamu Town,"KSh 39,000,000",https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-lamu-3780718,"Lamu Town, Lamu, lamu"
3 Bed House with En Suite at Kitengela (Milimani),"KSh 7,000,000",https://www.buyrentkenya.com/listings/furnished-3-bedroom-house-for-sale-kitengela-3771701,"Kitengela (Milimani), Kitengela"
5 Bed House with En Suite at Centre Piece,"KSh 16,600,000",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-kiambu-road-3748084,"Migaa Golf Estate, Centre Piece, Kiambu Road"
5 Bed Townhouse with En Suite at Near Lavington Mall,"KSh 55,000,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3790429,"Near Lavington mall, Lavington"
